Filename,Make,Model,FNumber,ExposureTime,ISOSpeedRatings,ShutterSpeedValue,FocalLength,MeteringMode,Flash
Image1.JPG,Canon,Canon EOS Rebel T6,16.0,0.016666666666666666,1600,6.0,55.0,5,16
Image10.jpg,Apple,iPhone 13,1.6,0.0010775862068965517,50,9.857427113072065,5.1,5,16
Image2.JPG,Canon,Canon EOS Rebel T6,16.0,0.0125,250,6.375,55.0,5,16
Image3.JPG,Canon,Canon EOS Rebel T6,8.0,0.005,100,7.625,18.0,5,16
Image4.JPG,Canon,Canon EOS Rebel T6,7.1,0.004,100,8.0,62.0,5,16
Image5.JPG,Canon,Canon EOS Rebel T6,7.1,0.00625,100,7.375,35.0,5,16
Image6.JPG,Canon,Canon EOS Rebel T6,10.0,0.00625,100,7.375,50.0,5,16
Image7.JPG,Canon,Canon EOS Rebel T6,10.0,0.004,100,8.0,24.0,5,16
Image8.JPG,Canon,Canon EOS 6D,4.0,0.01,1600,6.625,105.0,5,16
Image9.JPG,Canon,Canon EOS 6D Mark II,2.8,0.00625,10000,7.375,70.0,5,16
